,Actual_Price,CompanyName,Discount,Discount_Price,MobileName,Ratings,Reviews,Stars
0,"10,999",POCO,27,"7,999","POCO C3 (Matte Black, 64 GB)","45,661","2,762",4.3
1,"11,999",Realme,20,"9,499","Realme Narzo 20A (Victory Blue, 64 GB)","78,397","5,144",4.4
2,"11,999",Realme,20,"9,499","Realme Narzo 20A (Glory Silver, 64 GB)","78,397","5,144",4.4
3,"20,999",Samsung,21,"16,499","Samsung Galaxy F41 (Fusion Blue, 128 GB)","1,62,915","21,368",4.3
4,"9,999",POCO,30,"6,999","POCO C3 (Arctic Blue, 32 GB)","80,614","6,165",4.3
5,"12,999",Realme,23,"9,999","Realme C15 Qualcomm Edition (Power Blue, 64 GB)","23,827","1,559",4.3
6,"11,999",Realme,20,"9,499","Realme C15 Qualcomm Edition (Power Silver, 32 GB)",8,0,4
7,"20,999",Samsung,21,"16,499","Samsung Galaxy F41 (Fusion Green, 128 GB)","1,62,915","21,368",4.3
8,"12,999",Realme,23,"9,999","Realme C15 Qualcomm Edition (Power Silver, 64 GB)","23,827","1,559",4.3
9,"9,999",POCO,30,"6,999","POCO C3 (Lime Green, 32 GB)","80,614","6,165",4.3
10,"12,999",Realme,19,"10,499","Realme Narzo 20 (Victory Blue, 64 GB)","2,04,402","16,386",4.3
11,"19,999",Samsung,22,"15,499","Samsung Galaxy F41 (Fusion Blue, 64 GB)","1,62,915","21,368",4.3
12,"13,999",Realme,17,"11,499","Realme Narzo 20 (Glory Silver, 128 GB)","2,04,402","16,386",4.3
13,"10,999",POCO,27,"7,999","POCO C3 (Lime Green, 64 GB)","45,661","2,762",4.3
14,"17,999",Realme,27,"12,999","Realme 6 (Comet Blue, 64 GB)","1,33,105","12,759",4.4
15,"20,999",Samsung,21,"16,499","Samsung Galaxy F41 (Fusion Black, 128 GB)","1,62,915","21,368",4.3
16,"17,999",Realme,27,"12,999","Realme 6 (Comet White, 64 GB)","1,33,105","12,759",4.4
17,"9,999",Redmi,17,"8,299","Redmi 9i (Sea Blue, 64 GB)","1,26,716","7,318",4.3
18,"12,999",POCO,23,"9,999","POCO M2 (Pitch Black, 64 GB)","1,91,500","15,900",4.3
19,"15,990",OPPO,18,"12,990","OPPO A53 (Fairy White, 64 GB)","12,249",931,4.3
20,"12,999",POCO,23,"9,999","POCO M2 (Slate Blue, 64 GB)","1,91,500","15,900",4.3
21,"12,999",Realme,19,"10,499","Realme Narzo 20 (Glory Silver, 64 GB)","2,04,402","16,386",4.3
22,"13,999",Realme,17,"11,499","Realme Narzo 20 (Victory Blue, 128 GB)","2,04,402","16,386",4.3
23,"12,990",OPPO,15,"10,990","OPPO A33 (Mint Cream, 32 GB)",292,21,4.1
24,"15,990",OPPO,37,"9,990","OPPO A5s (Blue, 64 GB)","24,779","1,875",4.3
25,"9,999",Redmi,17,"8,299","Redmi 9i (Nature Green, 64 GB)","1,26,716","7,318",4.3
26,"9,999",Redmi,17,"8,299","Redmi 9i (Midnight Black, 64 GB)","1,26,716","7,318",4.3
27,"20,999",Samsung,21,"16,499","Samsung Galaxy F41 (Fusion Blue, 128 GB)","1,62,915","21,368",4.3
28,"10,999",POCO,27,"7,999","POCO C3 (Arctic Blue, 64 GB)","45,662","2,762",4.3
29,"15,990",OPPO,37,"9,990","OPPO A5s (Black, 64 GB)","24,779","1,875",4.3
30,"17,999",POCO,22,"13,999","POCO M2 Pro (Out of the Blue, 64 GB)","1,77,868","18,761",4.4
31,"20,999",Samsung,21,"16,499","Samsung Galaxy F41 (Fusion Green, 128 GB)","1,62,915","21,368",4.3
32,"16,999",POCO,23,"12,999","POCO M2 Pro (Out of the Blue, 64 GB)","1,09,013","11,588",4.4
33,"9,999",Infinix,20,"7,999","Infinix Smart 4 Plus (Quetzal Cyan, 32 GB)","1,06,374","9,455",4.4
34,"15,990",OPPO,37,"9,990","OPPO A5s (Green, 64 GB)","24,779","1,875",4.3
35,"19,999",Samsung,22,"15,499","Samsung Galaxy F41 (Fusion Blue, 64 GB)","1,62,915","21,368",4.3
